case_id,category,selected_tool,acceptable_tools,passed
cold_start_four_parameters,cold_start,optimizer_portfolio,optimizer_portfolio|cma_es,True
cold_start_twelve_parameters,cold_start,optimizer_portfolio,optimizer_portfolio|cma_es,True
cold_start_with_constraint_pressure,cold_start,optimizer_portfolio,optimizer_portfolio|constrained_mobo,True
local_progress_turbo_leads,local_progress,turbo,turbo,True
local_progress_surrogate_leads,local_progress,surrogate_cma_es,surrogate_cma_es|turbo,True
local_progress_small_remaining_window,local_progress,turbo,turbo,True
stagnation_three_generations,stagnation,bipop_cma_es,bipop_cma_es|optimizer_portfolio,True
stagnation_high_dimension,stagnation,bipop_cma_es,bipop_cma_es|saasbo|optimizer_portfolio,True
stagnation_after_surrogate_plateau,stagnation,bipop_cma_es,bipop_cma_es|optimizer_portfolio,True
constraint_pressure_no_feasible_points,constraint_pressure,optimizer_portfolio,constrained_mobo|optimizer_portfolio,True
constraint_pressure_sparse_feasible_region,constraint_pressure,constrained_mobo,constrained_mobo,True
constraint_pressure_with_progress,constraint_pressure,constrained_mobo,constrained_mobo,True
high_dimension_sparse_axes_24,high_dimension,optimizer_portfolio,saasbo|optimizer_portfolio,True
high_dimension_sparse_history_wins,high_dimension,saasbo,saasbo,True
high_dimension_coldish_history,high_dimension,optimizer_portfolio,saasbo|optimizer_portfolio,True
tight_budget_expensive_matrix,tight_budget,turbo,multi_fidelity_mobo|optimizer_portfolio,False
tight_budget_one_full_matrix_left,tight_budget,optimizer_portfolio,multi_fidelity_mobo|optimizer_portfolio|turbo,True
tight_budget_multifidelity_history,tight_budget,multi_fidelity_mobo,multi_fidelity_mobo,True
failure_recovery_high_rate,failure_recovery,optimizer_portfolio,optimizer_portfolio|constrained_mobo|bipop_cma_es,True
failure_recovery_turbo_failures,failure_recovery,optimizer_portfolio,bipop_cma_es|constrained_mobo|optimizer_portfolio,True
failure_recovery_constraints_improving,failure_recovery,constrained_mobo,constrained_mobo,True
mixed_history_turbo_clear_winner,mixed_tool_history,turbo,turbo,True
mixed_history_no_clear_winner,mixed_tool_history,turbo,optimizer_portfolio|turbo|saasbo|surrogate_cma_es,True
mixed_history_surrogate_clear_winner,mixed_tool_history,surrogate_cma_es,surrogate_cma_es,True
