block_id,comparison_arm,comparison_holdout_loss,comparison_total_trials,differing_metrics,full_holdout_loss,full_total_trials,holdout_delta_comparison_minus_full,intervention_activated,intervention_component,outcome_changed,reference_arm,result_status,seed_block,tool_sequence_changed,trial_delta_comparison_minus_full
1,no_decision_memory,0.9709,79,"['holdout_loss', 'total_trials']",0.9817,66,-0.010800000000000032,True,decision_memory,True,full_aurora,causal_protocol_difference,6100,True,13
1,no_observed_outcome_reflection,0.9709,79,"['holdout_loss', 'total_trials']",0.9817,66,-0.010800000000000032,True,observed_outcome_reflection,True,full_aurora,causal_protocol_difference,6100,True,13
1,fixed_deterministic_portfolio,0.8621,118,"['holdout_loss', 'trials_to_target', 'total_trials']",0.9817,66,-0.11960000000000004,True,harness_router,True,full_aurora,causal_protocol_difference,6100,True,52
2,no_decision_memory,0.8026,63,"['holdout_loss', 'total_trials']",0.8087,40,-0.006099999999999994,True,decision_memory,True,full_aurora,causal_protocol_difference,7200,True,23
2,no_observed_outcome_reflection,0.8026,63,"['holdout_loss', 'total_trials']",0.8087,40,-0.006099999999999994,True,observed_outcome_reflection,True,full_aurora,causal_protocol_difference,7200,True,23
2,fixed_deterministic_portfolio,0.8291,118,"['holdout_loss', 'optimizer_feasible_rate', 'trials_to_target', 'total_trials']",0.8087,40,0.020399999999999974,True,harness_router,True,full_aurora,causal_protocol_difference,7200,True,78
3,no_decision_memory,0.9006,63,"['holdout_loss', 'trials_to_target', 'total_trials']",0.8364,66,0.06419999999999992,True,decision_memory,True,full_aurora,causal_protocol_difference,8300,True,-3
3,no_observed_outcome_reflection,0.9006,63,"['holdout_loss', 'trials_to_target', 'total_trials']",0.8364,66,0.06419999999999992,True,observed_outcome_reflection,True,full_aurora,causal_protocol_difference,8300,True,-3
3,fixed_deterministic_portfolio,0.7889,118,"['holdout_loss', 'trials_to_target', 'total_trials']",0.8364,66,-0.04749999999999999,True,harness_router,True,full_aurora,causal_protocol_difference,8300,True,52
4,no_decision_memory,0.8354,79,"['holdout_loss', 'trials_to_target', 'total_trials']",0.8588,65,-0.023399999999999976,True,decision_memory,True,full_aurora,causal_protocol_difference,9400,True,14
4,no_observed_outcome_reflection,0.8354,79,"['holdout_loss', 'trials_to_target', 'total_trials']",0.8588,65,-0.023399999999999976,True,observed_outcome_reflection,True,full_aurora,causal_protocol_difference,9400,True,14
4,fixed_deterministic_portfolio,0.9601,118,"['holdout_loss', 'trials_to_target', 'total_trials']",0.8588,65,0.10129999999999995,True,harness_router,True,full_aurora,causal_protocol_difference,9400,True,53
5,no_decision_memory,0.8045,63,"['holdout_loss', 'trials_to_target', 'total_trials']",0.8245,66,-0.020000000000000018,True,decision_memory,True,full_aurora,causal_protocol_difference,10500,True,-3
5,no_observed_outcome_reflection,0.8045,63,"['holdout_loss', 'trials_to_target', 'total_trials']",0.8245,66,-0.020000000000000018,True,observed_outcome_reflection,True,full_aurora,causal_protocol_difference,10500,True,-3
5,fixed_deterministic_portfolio,0.8214,119,"['holdout_loss', 'trials_to_target', 'total_trials']",0.8245,66,-0.0030999999999999917,True,harness_router,True,full_aurora,causal_protocol_difference,10500,True,53
