case_id,expected_retrieved_experience_count,full_prompt_sha256,inserted_source_experience_count,no_memory_prompt_sha256,passed,prompt_binding_changed,provider_identifiers_absent,retrieved_experience_count,scenario_similarity
same_user_exact_task_exact_scenario,1,c2fc405510981a376c398ad8edf01cd7309236f331ff6dd791198c865f1d9b91,1,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,True,True,True,1,1.0
same_user_exact_task_shifted_scenario,1,ce2b19858dfa78dfb8ce1d1e7ff06755c85a29da3f6a819bcda72ac41c5daf33,1,8bd51616f6ea36fbbc232a9fceebdf29ec3ab5c19508077499f28943be8db449,True,True,True,1,0.8
cross_user_isolated,0,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,1,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,True,False,True,0,
anonymous_user_isolated,0,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,1,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,True,False,True,0,
task_family_mismatch,0,435c9421162fd4882315ddab952eba98aae434dbcd9445f168a7a25ab3b41df7,1,435c9421162fd4882315ddab952eba98aae434dbcd9445f168a7a25ab3b41df7,True,False,True,0,
parameter_catalog_drift,0,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,1,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,True,False,True,0,
revoked_excluded,0,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,1,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,True,False,True,0,
expired_excluded,0,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,1,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,True,False,True,0,
contract_version_drift_excluded,0,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,1,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,True,False,True,0,
source_receipt_drift_excluded,0,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,1,2ec933eee3a8493cb8aa9de3324095dc6266eefe2f9da20b5b5d473e8ac02c91,True,False,True,0,
