case_id,category,arm,expected_optional_turn,optional_turn_triggered,diagnosis_reasons,critic_reasons,suppressed_by_cooldown,qualified,terminal_result,generations_to_first_qualified,simulations_to_first_qualified,provider_turns_to_first_qualified,consumed_simulations,simulated_provider_turns_attempted,time_to_first_qualified_ms
direct_first_turn_stop,local_progress,one_turn,False,False,,,,True,first_qualified,1,6,1,6,1,43500
direct_first_turn_stop,local_progress,fixed_two_turn,False,False,,,,True,first_qualified,1,6,2,6,2,45000
direct_first_turn_stop,local_progress,adaptive_two_to_four_turn,False,False,,,,True,first_qualified,1,6,1,6,1,43500
steady_progress_no_extra_reasoning,local_progress,one_turn,False,False,,,,True,first_qualified,2,12,2,12,2,87000
steady_progress_no_extra_reasoning,local_progress,fixed_two_turn,False,False,,,,True,first_qualified,2,12,4,12,4,90000
steady_progress_no_extra_reasoning,local_progress,adaptive_two_to_four_turn,False,False,,,,True,first_qualified,2,12,4,12,4,90000
trailing_stagnation_diagnosis,stagnation,one_turn,True,True,trailing_stagnation,,,False,no_validated_winner,,,,24,4,
trailing_stagnation_diagnosis,stagnation,fixed_two_turn,True,True,trailing_stagnation,,,True,first_qualified,4,24,8,24,8,180000
trailing_stagnation_diagnosis,stagnation,adaptive_two_to_four_turn,True,True,trailing_stagnation,,,True,first_qualified,3,18,7,18,7,136500
conflicting_tool_directions,mixed_tool_history,one_turn,True,True,tool_direction_conflict,,,True,first_qualified,4,24,4,24,4,174000
conflicting_tool_directions,mixed_tool_history,fixed_two_turn,True,True,tool_direction_conflict,,,True,first_qualified,3,18,6,18,6,135000
conflicting_tool_directions,mixed_tool_history,adaptive_two_to_four_turn,True,True,tool_direction_conflict,,,True,first_qualified,2,12,5,12,5,91500
prediction_outcome_mismatch,failure_recovery,one_turn,True,True,prediction_outcome_mismatch,,,False,no_validated_winner,,,,24,4,
prediction_outcome_mismatch,failure_recovery,fixed_two_turn,True,True,prediction_outcome_mismatch,,,True,first_qualified,4,24,8,24,8,180000
prediction_outcome_mismatch,failure_recovery,adaptive_two_to_four_turn,True,True,prediction_outcome_mismatch,,,True,first_qualified,3,18,7,18,7,136500
domain_failure_spike,failure_recovery,one_turn,True,True,domain_failure_spike,,,False,no_validated_winner,,,,24,4,
domain_failure_spike,failure_recovery,fixed_two_turn,True,True,domain_failure_spike,,,True,first_qualified,3,18,6,18,6,135000
domain_failure_spike,failure_recovery,adaptive_two_to_four_turn,True,True,domain_failure_spike,,,True,first_qualified,2,12,5,12,5,91500
ood_without_transfer_memory,cold_start,one_turn,True,True,domain_failure_spike>ood_no_transfer_memory,,,False,no_validated_winner,,,,24,4,
ood_without_transfer_memory,cold_start,fixed_two_turn,True,True,domain_failure_spike>ood_no_transfer_memory,,,True,first_qualified,4,24,8,24,8,180000
ood_without_transfer_memory,cold_start,adaptive_two_to_four_turn,True,True,domain_failure_spike>ood_no_transfer_memory,,,True,first_qualified,3,18,7,18,7,136500
hard_boundary_safety_review,constraint_pressure,one_turn,True,True,,hard_boundary_candidate,,False,no_validated_winner,,,,24,4,
hard_boundary_safety_review,constraint_pressure,fixed_two_turn,True,True,,hard_boundary_candidate,,True,first_qualified,3,18,6,18,6,135000
hard_boundary_safety_review,constraint_pressure,adaptive_two_to_four_turn,True,True,,hard_boundary_candidate,,True,first_qualified,2,12,5,12,5,91500
cooldown_suppresses_duplicate_stagnation,stagnation,one_turn,False,False,,,trailing_stagnation,True,first_qualified,3,18,3,18,3,130500
cooldown_suppresses_duplicate_stagnation,stagnation,fixed_two_turn,False,False,,,trailing_stagnation,True,first_qualified,2,12,4,12,4,90000
cooldown_suppresses_duplicate_stagnation,stagnation,adaptive_two_to_four_turn,False,False,,,trailing_stagnation,True,first_qualified,2,12,4,12,4,90000
severity_escalation_over_cooldown,constraint_pressure,one_turn,True,True,,hard_boundary_candidate,,False,no_validated_winner,,,,24,4,
severity_escalation_over_cooldown,constraint_pressure,fixed_two_turn,True,True,,hard_boundary_candidate,,True,first_qualified,3,18,6,18,6,135000
severity_escalation_over_cooldown,constraint_pressure,adaptive_two_to_four_turn,True,True,,hard_boundary_candidate,,True,first_qualified,2,12,5,12,5,91500
no_validated_winner_under_frozen_budget,tight_budget,one_turn,False,False,,,,False,no_validated_winner,,,,24,4,
no_validated_winner_under_frozen_budget,tight_budget,fixed_two_turn,False,False,,,,False,no_validated_winner,,,,24,8,
no_validated_winner_under_frozen_budget,tight_budget,adaptive_two_to_four_turn,False,False,,,,False,no_validated_winner,,,,24,8,
