block_id,seed_block,arm,tool_sequence,provider_calls,network_calls,intervention_component,intervention_activated,holdout_loss,optimizer_candidate_count,feasible_optimizer_candidate_count,optimizer_feasible_rate,target_reached,target_generation,trials_to_target,right_censor_trials,total_trials,completed_trials,terminal_failure_trials,recovered_trials,failure_rate,recovery_rate,evidence_completeness_rate,result_metrics_sha256,outcome_sha256
1,6100,full_aurora,constrained_mobo>turbo,2,0,none,False,1.0124,5,5,1.0,False,,,24,24,24,0,0,0.0,,1.0,5ea66edff6cc764e5c9d5ec41770513a1cdc67d9d21797ba9d7ba1bfe05f2191,0f067b7977fe0675e25512a7e97974c32fa0a94f500c89cac131676ddb1d6f84
1,6100,no_decision_memory,constrained_mobo>optimizer_portfolio,2,0,decision_memory,True,1.0124,5,5,1.0,False,,,24,24,24,0,0,0.0,,1.0,5ea66edff6cc764e5c9d5ec41770513a1cdc67d9d21797ba9d7ba1bfe05f2191,49412c3d14fd575e8cad96eadba84e58e74f41d2e42db6a60385f06bb7f79197
1,6100,no_observed_outcome_reflection,constrained_mobo>optimizer_portfolio,2,0,observed_outcome_reflection,True,1.0124,5,5,1.0,False,,,24,24,24,0,0,0.0,,1.0,5ea66edff6cc764e5c9d5ec41770513a1cdc67d9d21797ba9d7ba1bfe05f2191,49412c3d14fd575e8cad96eadba84e58e74f41d2e42db6a60385f06bb7f79197
1,6100,fixed_deterministic_portfolio,optimizer_portfolio>optimizer_portfolio,0,0,harness_router,True,0.9239,9,9,1.0,True,1,34,,38,38,0,0,0.0,,1.0,651d8230b7567bfa6b2f2121a5d8b0fbf96c538170a627407052fa083a461868,f99e192c6d5c25fa8c87080e8825b12d15daf6e0d1c4abf1ec09edc9a3567f65
2,7200,full_aurora,constrained_mobo>turbo,2,0,none,False,0.8087,5,5,1.0,True,1,20,,24,24,0,0,0.0,,1.0,b695ed6ce72db83d0e0a23c0ba2439c46052acd8829e00b4b3c4e44020b15935,0b165a4a3b3efd18afb6fb0e98cc7fb59b2bd17cc957376c381d76a74f24b74f
2,7200,no_decision_memory,constrained_mobo>optimizer_portfolio,2,0,decision_memory,True,0.8087,5,5,1.0,True,1,20,,24,24,0,0,0.0,,1.0,b695ed6ce72db83d0e0a23c0ba2439c46052acd8829e00b4b3c4e44020b15935,b1288e9337c98d9ad00875bbb3607c6851ff63dd4981600d0f9310979784265b
2,7200,no_observed_outcome_reflection,constrained_mobo>optimizer_portfolio,2,0,observed_outcome_reflection,True,0.8087,5,5,1.0,True,1,20,,24,24,0,0,0.0,,1.0,b695ed6ce72db83d0e0a23c0ba2439c46052acd8829e00b4b3c4e44020b15935,b1288e9337c98d9ad00875bbb3607c6851ff63dd4981600d0f9310979784265b
2,7200,fixed_deterministic_portfolio,optimizer_portfolio>optimizer_portfolio,0,0,harness_router,True,0.941,9,9,1.0,False,,,39,39,39,0,0,0.0,,1.0,86b6d33e0e7e4338a00ed412d14d31117c47e7a2eb7655c875f4c64e2019690a,b467f91559f40e2619787960381de9e43639f9255aecd9018dd6bf8237e2bddc
3,8300,full_aurora,constrained_mobo>turbo,2,0,none,False,0.9492,5,5,1.0,False,,,24,24,24,0,0,0.0,,1.0,58b74d75eec0cd87694a3798788a6b2971864617d6e6c4800665e9158286e0ed,5dc6b0fb8091630fd3257874a3189ced23404f78e0cf551955870936f372def0
3,8300,no_decision_memory,constrained_mobo>optimizer_portfolio,2,0,decision_memory,True,0.9492,5,5,1.0,False,,,24,24,24,0,0,0.0,,1.0,58b74d75eec0cd87694a3798788a6b2971864617d6e6c4800665e9158286e0ed,54d30244a2531b6ebcd26e76fb4c5cbb9dc43262a709d1c385121957ac65201f
3,8300,no_observed_outcome_reflection,constrained_mobo>optimizer_portfolio,2,0,observed_outcome_reflection,True,0.9492,5,5,1.0,False,,,24,24,24,0,0,0.0,,1.0,58b74d75eec0cd87694a3798788a6b2971864617d6e6c4800665e9158286e0ed,54d30244a2531b6ebcd26e76fb4c5cbb9dc43262a709d1c385121957ac65201f
3,8300,fixed_deterministic_portfolio,optimizer_portfolio>optimizer_portfolio,0,0,harness_router,True,0.9492,9,9,1.0,False,,,39,39,39,0,0,0.0,,1.0,e9aaa7ef465d5c4be013aa89faa52dbf1728c9c2c7ec543b98db1f3f4bdf1d0d,af795a33e09e25862332425a8277210db5efe5dc4a0261c5880e9a09a075d187
4,9400,full_aurora,constrained_mobo>turbo,2,0,none,False,0.9968,5,5,1.0,False,,,24,24,24,0,0,0.0,,1.0,2985e2861ec8699f9aa5b0a11ae13b5d245fb68fe225f7f8c58465657db3dff7,0d9e2b593959727c4d33ad49b216ffa05ee04a9eb513f47a9cb9887149896cc4
4,9400,no_decision_memory,constrained_mobo>optimizer_portfolio,2,0,decision_memory,True,0.9968,5,5,1.0,False,,,24,24,24,0,0,0.0,,1.0,2985e2861ec8699f9aa5b0a11ae13b5d245fb68fe225f7f8c58465657db3dff7,e414391bd99b66665c0a14e07970dba9c3181c6b979b155b1d4e82eb3c61613c
4,9400,no_observed_outcome_reflection,constrained_mobo>optimizer_portfolio,2,0,observed_outcome_reflection,True,0.9968,5,5,1.0,False,,,24,24,24,0,0,0.0,,1.0,2985e2861ec8699f9aa5b0a11ae13b5d245fb68fe225f7f8c58465657db3dff7,e414391bd99b66665c0a14e07970dba9c3181c6b979b155b1d4e82eb3c61613c
4,9400,fixed_deterministic_portfolio,optimizer_portfolio>optimizer_portfolio,0,0,harness_router,True,0.9968,9,9,1.0,False,,,39,39,39,0,0,0.0,,1.0,5e6e06a79584be21cf0eb286f4cefa2fb37b9a3f3aa12034e6709ea6baca2698,952f1692447c0cbd29305240f324a6f27a44dfa9a00430a43a430f113e7cc33c
5,10500,full_aurora,constrained_mobo>turbo,2,0,none,False,0.9907,5,5,1.0,False,,,24,24,24,0,0,0.0,,1.0,6c3f3944cb341a565d2814ba993bb7f40ef43202c093c206ff0bb8279e79211e,ea869ec4daf5999a20b33e62a8c38fbb9d05f241b153dcbc20e49a525927ec69
5,10500,no_decision_memory,constrained_mobo>optimizer_portfolio,2,0,decision_memory,True,0.9907,5,5,1.0,False,,,24,24,24,0,0,0.0,,1.0,6c3f3944cb341a565d2814ba993bb7f40ef43202c093c206ff0bb8279e79211e,378a7f1b6c12a5622fb266ea7303613e2b954a50b580cdc9b5d045b9ed612898
5,10500,no_observed_outcome_reflection,constrained_mobo>optimizer_portfolio,2,0,observed_outcome_reflection,True,0.9907,5,5,1.0,False,,,24,24,24,0,0,0.0,,1.0,6c3f3944cb341a565d2814ba993bb7f40ef43202c093c206ff0bb8279e79211e,378a7f1b6c12a5622fb266ea7303613e2b954a50b580cdc9b5d045b9ed612898
5,10500,fixed_deterministic_portfolio,optimizer_portfolio>optimizer_portfolio,0,0,harness_router,True,0.9676,9,9,1.0,False,,,39,39,39,0,0,0.0,,1.0,48187a45a49397cb4060dd0098af8a0ca5e0c3b3c7b49501ba5e641679404ddf,dae76205f1709f4e651d6d480ec9c422d75991dd0ced2feecdab401a740f719c
