block_id,seed_block,arm,provider_calls,network_calls,terminal_status,optimization_outcome,candidate_count,trial_count,configured_max_total_trials,dispatched_trials,completed_trials,winner_candidate_key,holdout_loss,failure_count,evidence_completeness_rate,outcome_sha256,exact_match_to_direct_portfolio
1,1100,direct_portfolio,0,0,COMPLETED,max_iterations_reached,10,39,40,39,39,g02-c09,0.8247,0,1.0,cf3b0e7c4117d8cde8d09db0358937914bcd3d710140bf1fd8c525a476420871,True
1,1100,provider_error_fallback,2,0,COMPLETED,max_iterations_reached,10,39,40,39,39,g02-c09,0.8247,0,1.0,cf3b0e7c4117d8cde8d09db0358937914bcd3d710140bf1fd8c525a476420871,True
1,1100,invalid_response_fallback,2,0,COMPLETED,max_iterations_reached,10,39,40,39,39,g02-c09,0.8247,0,1.0,cf3b0e7c4117d8cde8d09db0358937914bcd3d710140bf1fd8c525a476420871,True
2,2200,direct_portfolio,0,0,COMPLETED,max_iterations_reached,10,38,40,38,38,g01-c06,0.9468,0,1.0,0c211c09515f0ef9cb1f9b4db9e07c4c3283cbdce242714bc3277342e2361cee,True
2,2200,provider_error_fallback,2,0,COMPLETED,max_iterations_reached,10,38,40,38,38,g01-c06,0.9468,0,1.0,0c211c09515f0ef9cb1f9b4db9e07c4c3283cbdce242714bc3277342e2361cee,True
2,2200,invalid_response_fallback,2,0,COMPLETED,max_iterations_reached,10,38,40,38,38,g01-c06,0.9468,0,1.0,0c211c09515f0ef9cb1f9b4db9e07c4c3283cbdce242714bc3277342e2361cee,True
3,3300,direct_portfolio,0,0,COMPLETED,max_iterations_reached,10,39,40,39,39,g00-c00,1.0052,0,1.0,2b1efcb3841b664a22a08b7af9c7712f198bd80cbe1b217705c0d63b6803fe80,True
3,3300,provider_error_fallback,2,0,COMPLETED,max_iterations_reached,10,39,40,39,39,g00-c00,1.0052,0,1.0,2b1efcb3841b664a22a08b7af9c7712f198bd80cbe1b217705c0d63b6803fe80,True
3,3300,invalid_response_fallback,2,0,COMPLETED,max_iterations_reached,10,39,40,39,39,g00-c00,1.0052,0,1.0,2b1efcb3841b664a22a08b7af9c7712f198bd80cbe1b217705c0d63b6803fe80,True
4,4400,direct_portfolio,0,0,COMPLETED,max_iterations_reached,10,38,40,38,38,g01-c06,0.9707,0,1.0,c7e58a79e9c3b70d0ef0edf854d1bd5c16c17732aa32e518e832fc3daa365529,True
4,4400,provider_error_fallback,2,0,COMPLETED,max_iterations_reached,10,38,40,38,38,g01-c06,0.9707,0,1.0,c7e58a79e9c3b70d0ef0edf854d1bd5c16c17732aa32e518e832fc3daa365529,True
4,4400,invalid_response_fallback,2,0,COMPLETED,max_iterations_reached,10,38,40,38,38,g01-c06,0.9707,0,1.0,c7e58a79e9c3b70d0ef0edf854d1bd5c16c17732aa32e518e832fc3daa365529,True
5,5500,direct_portfolio,0,0,COMPLETED,max_iterations_reached,10,39,40,39,39,g01-c01,1.036,0,1.0,dd9bfc82bcb0a6c9fd6f21d865709dc8a672130a73cd4280caf9f81ba191c5a2,True
5,5500,provider_error_fallback,2,0,COMPLETED,max_iterations_reached,10,39,40,39,39,g01-c01,1.036,0,1.0,dd9bfc82bcb0a6c9fd6f21d865709dc8a672130a73cd4280caf9f81ba191c5a2,True
5,5500,invalid_response_fallback,2,0,COMPLETED,max_iterations_reached,10,39,40,39,39,g01-c01,1.036,0,1.0,dd9bfc82bcb0a6c9fd6f21d865709dc8a672130a73cd4280caf9f81ba191c5a2,True
