block_id,seed_block,arm,tool_sequence,provider_calls,network_calls,intervention_component,intervention_activated,holdout_loss,target_reached,target_generation,trials_to_target,right_censor_trials,total_trials,completed_trials,terminal_failure_trials,recovered_trials,failure_rate,recovery_rate,evidence_completeness_rate,result_metrics_sha256,outcome_sha256
1,6100,full_aurora,constrained_mobo>turbo>optimizer_portfolio>turbo,4,0,none,False,0.9817,False,,,66,66,66,0,0,0.0,,1.0,da30e186d0afb7082d39c83c7556e33d8e00fa128d864aefb9b292ad1619d9e5,7e29e80e09b53efe085821de0c240586292dcb6941c0244ac13fc8db4855f866
1,6100,no_decision_memory,constrained_mobo>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,4,0,decision_memory,True,0.9709,False,,,79,79,79,0,0,0.0,,1.0,eb50a764afb1b82c7018d0ce91271f2fda385ef2def282619841e990db339ff0,1086153b52cc37189594fe03527033addaf13266e3f2c97a3e34da49741a85ec
1,6100,no_observed_outcome_reflection,constrained_mobo>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,4,0,observed_outcome_reflection,True,0.9709,False,,,79,79,79,0,0,0.0,,1.0,eb50a764afb1b82c7018d0ce91271f2fda385ef2def282619841e990db339ff0,1086153b52cc37189594fe03527033addaf13266e3f2c97a3e34da49741a85ec
1,6100,fixed_deterministic_portfolio,optimizer_portfolio>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,0,0,harness_router,True,0.8621,True,1,38,,118,118,0,0,0.0,,1.0,caa52adc425831824cf1202a6f14c4a419d196a8dd8c871797033b60d552f451,6f226e9b9495218fd80fb8fd47ea4378877483b3d174b2ad823cf4f2a92cdc45
2,7200,full_aurora,constrained_mobo>turbo>turbo>turbo,4,0,none,False,0.8087,True,1,20,,40,40,0,0,0.0,,1.0,596538e3820a8601336e43eab3282cbdd10ebf5aafde5f7ca59270bcfda32538,2cb36581585b0450209c9548ec54e5c0a4bbff8aa4a47b898dd39b8ca9a9e92e
2,7200,no_decision_memory,constrained_mobo>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,4,0,decision_memory,True,0.8026,True,1,20,,63,63,0,0,0.0,,1.0,b3d953dd0bdf6faf481402d412514cbc9df35a2927c1d29af79db760dd526773,485d14bc4617841c21b29d7e47c4ca56096c3002af1561924150a2ad37f60c2b
2,7200,no_observed_outcome_reflection,constrained_mobo>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,4,0,observed_outcome_reflection,True,0.8026,True,1,20,,63,63,0,0,0.0,,1.0,b3d953dd0bdf6faf481402d412514cbc9df35a2927c1d29af79db760dd526773,485d14bc4617841c21b29d7e47c4ca56096c3002af1561924150a2ad37f60c2b
2,7200,fixed_deterministic_portfolio,optimizer_portfolio>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,0,0,harness_router,True,0.8291,True,3,110,,118,118,0,0,0.0,,1.0,eb8da713b1ec61fe1c0270b15e3a64a10eee25cb54e000ec2e6ce5987e187c65,8f386336dd8c294e397ce525760666ae2879f16336c9d0056c186d306fdef917
3,8300,full_aurora,constrained_mobo>turbo>optimizer_portfolio>turbo,4,0,none,False,0.8364,True,3,62,,66,66,0,0,0.0,,1.0,f13aab64748dea1dc6c7a8aa869180fbe0ce893c1e5f962cb552d4ff953aa3b4,598b6ab3014d3a9f957b92c298fc78ff7e4d22a1444bbde3e1f84120546c3425
3,8300,no_decision_memory,constrained_mobo>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,4,0,decision_memory,True,0.9006,False,,,63,63,63,0,0,0.0,,1.0,f210aa148f57618db2551101627eeb5d0236734faa622ae72260413ed5703611,3828a157c30b4d4bd30fb904d0971a6514826b08205c027e244f3ab559ec8cef
