case_id,trigger,step_id,arm,intervention_activated,result_status,plan_phase,batch_policy,reason_codes,eligible_tools,selectable_tools,selected_tool,decision_memory_count,verified_reflection_count,observed_outcome_count,removed_reflection_count,snapshot_sha256
high_cost_no_improvement,high_cost_no_improvement,stagnant_high_cost_state,full_reflection,True,no_observed_contract_difference,diversification,broad,stagnation_detected,cma_es>constrained_mobo>multi_fidelity_mobo>turbo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,cma_es>constrained_mobo>multi_fidelity_mobo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,bipop_cma_es,1,1,1,0,788d8a23ef1883fb95a33826e27cf37664a12d39435b1f9930359567daf67daa
high_cost_no_improvement,high_cost_no_improvement,stagnant_high_cost_state,no_observed_outcome_reflection,True,no_observed_contract_difference,diversification,broad,stagnation_detected,cma_es>constrained_mobo>multi_fidelity_mobo>turbo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,cma_es>constrained_mobo>multi_fidelity_mobo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,bipop_cma_es,1,0,0,1,e4e3d05e5f4c3f397f4a9e703b82f44d1267be5ff9906f8c129ba19b0442496c
failure_concentration,failure_concentration,verified_failure_concentration,full_reflection,True,causal_contract_difference,recovery,conservative,high_domain_failure_rate,cma_es>constrained_mobo>multi_fidelity_mobo>turbo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,cma_es>constrained_mobo>bipop_cma_es>optimizer_portfolio,bipop_cma_es,1,1,1,0,d460f19881edd2924a8fcaddd9c55e8661625809b7d7179559dd3161164dad2b
failure_concentration,failure_concentration,verified_failure_concentration,no_observed_outcome_reflection,True,causal_contract_difference,balanced,balanced,stable_progress,cma_es>constrained_mobo>multi_fidelity_mobo>turbo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,cma_es>constrained_mobo>multi_fidelity_mobo>turbo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,optimizer_portfolio,1,0,0,1,683b45f7c26170888be530f9caf3ae39da35359be9263f07460f7cd2b7ffcea9
search_space_exhaustion,search_space_exhaustion,exhausted_without_cohort,full_reflection,False,inconclusive_intervention_not_activated,exploration,broad,insufficient_scored_history>no_feasible_candidate,cma_es>constrained_mobo>multi_fidelity_mobo>optimizer_portfolio,cma_es>constrained_mobo>multi_fidelity_mobo>optimizer_portfolio,constrained_mobo,1,0,0,0,3c138d1bd183c48318d7e342fe818b9c93ee909f7b1b1915c47779024f93604e
search_space_exhaustion,search_space_exhaustion,exhausted_without_cohort,no_observed_outcome_reflection,False,inconclusive_intervention_not_activated,exploration,broad,insufficient_scored_history>no_feasible_candidate,cma_es>constrained_mobo>multi_fidelity_mobo>optimizer_portfolio,cma_es>constrained_mobo>multi_fidelity_mobo>optimizer_portfolio,constrained_mobo,1,0,0,0,3c138d1bd183c48318d7e342fe818b9c93ee909f7b1b1915c47779024f93604e
verified_improvement_phase_transition,phase_transition,verified_recent_improvement,full_reflection,True,causal_contract_difference,refinement,balanced,recent_verified_improvement,cma_es>constrained_mobo>multi_fidelity_mobo>turbo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,cma_es>constrained_mobo>turbo>surrogate_cma_es>optimizer_portfolio,turbo,1,1,1,0,8c9e8dc21dff655b889da1aca7f90f121b770cc39fe906c541880b766cdb20d7
verified_improvement_phase_transition,phase_transition,verified_recent_improvement,no_observed_outcome_reflection,True,causal_contract_difference,balanced,balanced,stable_progress,cma_es>constrained_mobo>multi_fidelity_mobo>turbo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,cma_es>constrained_mobo>multi_fidelity_mobo>turbo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,optimizer_portfolio,1,0,0,1,230bb1be23db1b276670baf9a0de05f33c94d56f0256e282a517b27bdc854350
recovery_then_reexplore,recovery_then_reexplore,enter_recovery,full_reflection,True,causal_contract_difference,recovery,conservative,high_domain_failure_rate,cma_es>constrained_mobo>multi_fidelity_mobo>turbo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,cma_es>constrained_mobo>bipop_cma_es>optimizer_portfolio,bipop_cma_es,1,1,1,0,d460f19881edd2924a8fcaddd9c55e8661625809b7d7179559dd3161164dad2b
recovery_then_reexplore,recovery_then_reexplore,enter_recovery,no_observed_outcome_reflection,True,causal_contract_difference,balanced,balanced,stable_progress,cma_es>constrained_mobo>multi_fidelity_mobo>turbo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,cma_es>constrained_mobo>multi_fidelity_mobo>turbo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,optimizer_portfolio,1,0,0,1,683b45f7c26170888be530f9caf3ae39da35359be9263f07460f7cd2b7ffcea9
recovery_then_reexplore,recovery_then_reexplore,reexplore_after_recovery,full_reflection,True,no_observed_contract_difference,exploration,broad,insufficient_scored_history>no_feasible_candidate,cma_es>constrained_mobo>multi_fidelity_mobo>optimizer_portfolio,cma_es>constrained_mobo>multi_fidelity_mobo>optimizer_portfolio,constrained_mobo,1,1,1,0,cf8a2fe9e8d791e9f7707f284ec8345f945a83d70cbc61959761d6c40d10c772
recovery_then_reexplore,recovery_then_reexplore,reexplore_after_recovery,no_observed_outcome_reflection,True,no_observed_contract_difference,exploration,broad,insufficient_scored_history>no_feasible_candidate,cma_es>constrained_mobo>multi_fidelity_mobo>optimizer_portfolio,cma_es>constrained_mobo>multi_fidelity_mobo>optimizer_portfolio,constrained_mobo,1,0,0,1,2dc5d248bb27e9ece6fc46c7e531c8ae8f3fe32cab691d43a7b70e7716b7d6b8
phase_scoped_tool_eligibility_change,tool_eligibility_change,all_capabilities_recovery_gate,full_reflection,True,causal_contract_difference,recovery,conservative,high_domain_failure_rate,cma_es>constrained_mobo>multi_fidelity_mobo>turbo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,cma_es>constrained_mobo>bipop_cma_es>optimizer_portfolio,bipop_cma_es,1,1,1,0,d460f19881edd2924a8fcaddd9c55e8661625809b7d7179559dd3161164dad2b
phase_scoped_tool_eligibility_change,tool_eligibility_change,all_capabilities_recovery_gate,no_observed_outcome_reflection,True,causal_contract_difference,balanced,balanced,stable_progress,cma_es>constrained_mobo>multi_fidelity_mobo>turbo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,cma_es>constrained_mobo>multi_fidelity_mobo>turbo>saasbo>surrogate_cma_es>bipop_cma_es>optimizer_portfolio,optimizer_portfolio,1,0,0,1,683b45f7c26170888be530f9caf3ae39da35359be9263f07460f7cd2b7ffcea9
