registry_ordinal,problem_id,difficulty,task_family,track_type,scenario_type,training_seeds,holdout_seeds,target_rmse,target_max_error,min_pass_rate,physical_effect_contracts_sha256
1,easy-hover-calm,easy,takeoff_hover,hover,nominal,10011>10012,20011>20012,0.35,0.9,1.0,9f38458114f4e7e64b849d016e2dc624c65edfa4f026fd23b5e84559a02512ed
2,easy-circle-calm,easy,orbit_inspection,circle,nominal,10021>10022,20021>20022,0.35,0.9,1.0,e43436bc2c76dec94469138ceaabeac29a51f8084d1bd583f96c87b1a0409a1c
3,representative-u-turn-calm,representative,direction_reversal,u_turn,nominal,10031>10032,20031>20032,0.55,1.35,1.0,c62555f00a288d198401b97afeb90bf8be71398276c881ab6972034238bd37fa
4,representative-lemniscate-calm,representative,continuous_turning,lemniscate,nominal,10041>10042,20041>20042,0.55,1.35,1.0,73027dd2afc0fe7fe9e7f41e3a64e173b4dba137af99fa64f5a70c8d4bb94a19
5,representative-hover-crosswind,representative,station_keeping,hover,wind_perturbed,10051>10052,20051>20052,0.55,1.35,1.0,328c267d949b60d7e3b5977de0604201a7ce2a856093246425bc9ed6efdefbb7
6,representative-circle-crosswind,representative,orbit_inspection,circle,wind_perturbed,10061>10062,20061>20062,0.55,1.35,1.0,7154d938eb110433160ca85f9a2b81639574f207f74ce97481fec0f3726e683c
7,representative-u-turn-crosswind,representative,direction_reversal,u_turn,wind_perturbed,10071>10072,20071>20072,0.55,1.35,1.0,f2885d9271cbdc11b9e3ebd601e6d94ec01ba6b9fca5a4660f3523bb084dba68
8,representative-circle-gust,representative,orbit_inspection,circle,turbulence,10081>10082,20081>20082,0.55,1.35,1.0,41e467014d710542e5d93b837bc8a204049860e0e69301887e757b6c913ef293
9,representative-hover-sensor-noise,representative,station_keeping,hover,noise_perturbed,10091>10092,20091>20092,0.55,1.35,1.0,50be667a7143a600a50dcda2d5a5abc72250afeef40736de2c889aaefc8bcd37
10,representative-lemniscate-sensor-noise,representative,continuous_turning,lemniscate,noise_perturbed,10101>10102,20101>20102,0.55,1.35,1.0,8fa13fbf5252339259db1d1b56959c4f4c18b0b6aef6f463be13793607562b90
11,representative-hover-payload,representative,payload_station_keeping,hover,payload_changed,10111>10112,20111>20112,0.55,1.35,1.0,526e34c496ac385a21f2ee3c4967303493b464f2dc854a0778ee6474459f1afa
12,representative-circle-battery-sag,representative,orbit_inspection,circle,battery_degraded,10121>10122,20121>20122,0.55,1.35,1.0,eca54846e64655b0d2baa327d1e28b542cd155082dbe3e63281a5e08ced652de
13,representative-rectangle-inspection,representative,perimeter_inspection,custom,nominal,10131>10132,20131>20132,0.55,1.35,1.0,2a9650f77d6ba0d6869b1a74698fd157c8fee62bf695ebc837aa5ad1fce33856
14,representative-aisle-crosswind,representative,aisle_inspection,custom,wind_perturbed,10141>10142,20141>20142,0.55,1.35,1.0,1f383098d32b8ec207dda31fe80dd61775a992fc2908786becef358b4d25f86e
15,representative-circle-wind-noise,representative,orbit_inspection,circle,combined_perturbed,10151>10152,20151>20152,0.55,1.35,1.0,77ec067a7ee52d8707792e86fce8ff405066bad63016a4efa902742a573d9f3a
16,hard-lemniscate-gust-noise,hard,continuous_turning,lemniscate,combined_perturbed,10161>10162,20161>20162,0.8,1.8,1.0,f9251be39af52849f889f6b47f475464425f27c5c5f907ff48bc2100422c9c71
17,hard-rectangle-wind-payload,hard,perimeter_inspection,custom,combined_perturbed,10171>10172,20171>20172,0.8,1.8,1.0,6dc0611feebff10fd15986332d92aea3f9536a82479022644b39f07b6401fb59
18,hard-hover-wind-dropout,hard,station_keeping,hover,combined_perturbed,10181>10182,20181>20182,0.8,1.8,1.0,2880b9f337fa95c29dd5677b3076c9a9c37f1bf0052ee58f3ad55f3fff086665
